structure,total,inUse,free,time
Liberty Square (Tally Hall),540.0,42.0,498.0,1670188034.2817698
Ann Ashley,811.0,2.0,809.0,1670188034.2817698
South Ashley (Kline Lot),143.0,3.0,140.0,1670188034.2817698
4th & William,960.0,72.0,888.0,1670188034.2817698
4th & Wash.,270.0,37.0,233.0,1670188034.2817698
1st & Wash.,243.0,40.0,203.0,1670188034.2817698
1st and William,110.0,0.0,110.0,1670191627.6381314
Library Lane,744.0,62.0,682.0,1670191627.6381314
Maynard,791.0,56.0,735.0,1670191627.6381314
Forest Garage,853.0,2.0,851.0,1670191627.6381314
Liberty Square (Tally Hall),540.0,42.0,498.0,1670191627.6381314
Ann Ashley,811.0,2.0,809.0,1670191627.6381314
South Ashley (Kline Lot),143.0,3.0,140.0,1670191627.6381314
4th & William,960.0,72.0,888.0,1670191627.6381314
4th & Wash.,270.0,37.0,233.0,1670191627.6381314
1st & Wash.,243.0,40.0,203.0,1670191627.6381314
1st and William,110.0,0.0,110.0,1670195226.58404
Library Lane,744.0,62.0,682.0,1670195226.58404
Maynard,791.0,56.0,735.0,1670195226.58404
Forest Garage,853.0,2.0,851.0,1670195226.58404
Liberty Square (Tally Hall),540.0,42.0,498.0,1670195226.58404
Ann Ashley,811.0,2.0,809.0,1670195226.58404
South Ashley (Kline Lot),143.0,3.0,140.0,1670195226.58404
4th & William,960.0,72.0,888.0,1670195226.58404
4th & Wash.,270.0,37.0,233.0,1670195226.58404
1st & Wash.,243.0,40.0,203.0,1670195226.58404
1st and William,110.0,0.0,110.0,1670198854.1846013
Library Lane,744.0,62.0,682.0,1670198854.1846013
Maynard,791.0,56.0,735.0,1670198854.1846013
Forest Garage,853.0,6.0,847.0,1670198854.1846013
Liberty Square (Tally Hall),540.0,42.0,498.0,1670198854.1846013
Ann Ashley,811.0,2.0,809.0,1670198854.1846013
South Ashley (Kline Lot),143.0,3.0,140.0,1670198854.1846013
4th & William,960.0,72.0,888.0,1670198854.1846013
4th & Wash.,270.0,37.0,233.0,1670198854.1846013
1st & Wash.,243.0,243.0,0.0,1670198854.1846013
1st and William,110.0,0.0,110.0,1670202426.5974631
Library Lane,744.0,62.0,682.0,1670202426.5974631
Maynard,791.0,56.0,735.0,1670202426.5974631
Forest Garage,853.0,6.0,847.0,1670202426.5974631
Liberty Square (Tally Hall),540.0,42.0,498.0,1670202426.5974631
Ann Ashley,811.0,2.0,809.0,1670202426.5974631
South Ashley (Kline Lot),143.0,3.0,140.0,1670202426.5974631
4th & William,960.0,72.0,888.0,1670202426.5974631
4th & Wash.,270.0,37.0,233.0,1670202426.5974631
1st & Wash.,243.0,243.0,0.0,1670202426.5974631
1st and William,110.0,0.0,110.0,1670206027.8481956
Library Lane,744.0,62.0,682.0,1670206027.8481956
Maynard,791.0,56.0,735.0,1670206027.8481956
Forest Garage,853.0,6.0,847.0,1670206027.8481956
Liberty Square (Tally Hall),540.0,42.0,498.0,1670206027.8481956
Ann Ashley,811.0,2.0,809.0,1670206027.8481956
South Ashley (Kline Lot),143.0,3.0,140.0,1670206027.8481956
4th & William,960.0,72.0,888.0,1670206027.8481956
4th & Wash.,270.0,37.0,233.0,1670206027.8481956
1st & Wash.,243.0,243.0,0.0,1670206027.8481956
1st and William,110.0,0.0,110.0,1670209630.1982286
Library Lane,744.0,62.0,682.0,1670209630.1982286
Maynard,791.0,56.0,735.0,1670209630.1982286
Forest Garage,853.0,6.0,847.0,1670209630.1982286
Liberty Square (Tally Hall),540.0,42.0,498.0,1670209630.1982286
Ann Ashley,811.0,2.0,809.0,1670209630.1982286
South Ashley (Kline Lot),143.0,3.0,140.0,1670209630.1982286
4th & William,960.0,72.0,888.0,1670209630.1982286
4th & Wash.,270.0,37.0,233.0,1670209630.1982286
1st & Wash.,243.0,243.0,0.0,1670209630.1982286
1st and William,110.0,0.0,110.0,1670213237.0439749
Library Lane,744.0,62.0,682.0,1670213237.0439749
Maynard,791.0,56.0,735.0,1670213237.0439749
Forest Garage,853.0,1.0,852.0,1670213237.0439749
Liberty Square (Tally Hall),540.0,42.0,498.0,1670213237.0439749
Ann Ashley,811.0,2.0,809.0,1670213237.0439749
South Ashley (Kline Lot),143.0,3.0,140.0,1670213237.0439749
4th & William,960.0,72.0,888.0,1670213237.0439749
4th & Wash.,270.0,37.0,233.0,1670213237.0439749
1st & Wash.,243.0,243.0,0.0,1670213237.0439749
1st and William,110.0,0.0,110.0,1670216827.9826503
Library Lane,744.0,62.0,682.0,1670216827.9826503
Maynard,791.0,56.0,735.0,1670216827.9826503
Forest Garage,853.0,1.0,852.0,1670216827.9826503
Liberty Square (Tally Hall),540.0,42.0,498.0,1670216827.9826503
Ann Ashley,811.0,2.0,809.0,1670216827.9826503
South Ashley (Kline Lot),143.0,3.0,140.0,1670216827.9826503
4th & William,960.0,72.0,888.0,1670216827.9826503
4th & Wash.,270.0,37.0,233.0,1670216827.9826503
1st & Wash.,243.0,243.0,0.0,1670216827.9826503
1st and William,110.0,0.0,110.0,1670220428.29479
Library Lane,744.0,62.0,682.0,1670220428.29479
Maynard,791.0,56.0,735.0,1670220428.29479
Forest Garage,853.0,1.0,852.0,1670220428.29479
Liberty Square (Tally Hall),540.0,42.0,498.0,1670220428.29479
Ann Ashley,811.0,2.0,809.0,1670220428.29479
