structure,total,inUse,free,time
Maynard,791.0,379.0,412.0,1671066428.0125928
Forest Garage,853.0,210.0,643.0,1671066428.0125928
Liberty Square (Tally Hall),540.0,193.0,347.0,1671066428.0125928
Ann Ashley,811.0,79.0,732.0,1671066428.0125928
South Ashley (Kline Lot),143.0,106.0,37.0,1671066428.0125928
4th & William,960.0,242.0,718.0,1671066428.0125928
4th & Wash.,270.0,179.0,91.0,1671066428.0125928
1st & Wash.,243.0,117.0,126.0,1671066428.0125928
1st and William,110.0,0.0,110.0,1671070035.3280199
Library Lane,744.0,77.0,667.0,1671070035.3280199
Maynard,791.0,264.0,527.0,1671070035.3280199
Forest Garage,853.0,182.0,671.0,1671070035.3280199
Liberty Square (Tally Hall),540.0,175.0,365.0,1671070035.3280199
Ann Ashley,811.0,44.0,767.0,1671070035.3280199
South Ashley (Kline Lot),143.0,78.0,65.0,1671070035.3280199
4th & William,960.0,181.0,779.0,1671070035.3280199
4th & Wash.,270.0,147.0,123.0,1671070035.3280199
1st & Wash.,243.0,243.0,0.0,1671070035.3280199
1st and William,110.0,0.0,110.0,1671073627.2715974
Library Lane,744.0,77.0,667.0,1671073627.2715974
Maynard,791.0,264.0,527.0,1671073627.2715974
Forest Garage,853.0,182.0,671.0,1671073627.2715974
Liberty Square (Tally Hall),540.0,175.0,365.0,1671073627.2715974
Ann Ashley,811.0,44.0,767.0,1671073627.2715974
South Ashley (Kline Lot),143.0,78.0,65.0,1671073627.2715974
4th & William,960.0,181.0,779.0,1671073627.2715974
4th & Wash.,270.0,147.0,123.0,1671073627.2715974
1st & Wash.,243.0,243.0,0.0,1671073627.2715974
1st and William,110.0,0.0,110.0,1671077228.848212
Library Lane,744.0,77.0,667.0,1671077228.848212
Maynard,791.0,264.0,527.0,1671077228.848212
Forest Garage,853.0,182.0,671.0,1671077228.848212
Liberty Square (Tally Hall),540.0,175.0,365.0,1671077228.848212
Ann Ashley,811.0,44.0,767.0,1671077228.848212
South Ashley (Kline Lot),143.0,78.0,65.0,1671077228.848212
4th & William,960.0,181.0,779.0,1671077228.848212
4th & Wash.,270.0,147.0,123.0,1671077228.848212
1st & Wash.,243.0,243.0,0.0,1671077228.848212
1st and William,110.0,0.0,110.0,1671080829.1512966
Library Lane,744.0,77.0,667.0,1671080829.1512966
Maynard,791.0,264.0,527.0,1671080829.1512966
Forest Garage,853.0,182.0,671.0,1671080829.1512966
Liberty Square (Tally Hall),540.0,175.0,365.0,1671080829.1512966
Ann Ashley,811.0,44.0,767.0,1671080829.1512966
South Ashley (Kline Lot),143.0,78.0,65.0,1671080829.1512966
4th & William,960.0,181.0,779.0,1671080829.1512966
4th & Wash.,270.0,147.0,123.0,1671080829.1512966
1st & Wash.,243.0,243.0,0.0,1671080829.1512966
1st and William,110.0,0.0,110.0,1671084430.9458745
Library Lane,744.0,54.0,690.0,1671084430.9458745
Maynard,791.0,112.0,679.0,1671084430.9458745
Forest Garage,853.0,150.0,703.0,1671084430.9458745
Liberty Square (Tally Hall),540.0,56.0,484.0,1671084430.9458745
Ann Ashley,811.0,19.0,792.0,1671084430.9458745
South Ashley (Kline Lot),143.0,3.0,140.0,1671084430.9458745
4th & William,960.0,65.0,895.0,1671084430.9458745
4th & Wash.,270.0,47.0,223.0,1671084430.9458745
1st & Wash.,243.0,243.0,0.0,1671084430.9458745
1st and William,110.0,0.0,110.0,1671088029.7031608
Library Lane,744.0,54.0,690.0,1671088029.7031608
Maynard,791.0,112.0,679.0,1671088029.7031608
Forest Garage,853.0,150.0,703.0,1671088029.7031608
Liberty Square (Tally Hall),540.0,56.0,484.0,1671088029.7031608
Ann Ashley,811.0,19.0,792.0,1671088029.7031608
South Ashley (Kline Lot),143.0,3.0,140.0,1671088029.7031608
4th & William,960.0,65.0,895.0,1671088029.7031608
4th & Wash.,270.0,47.0,223.0,1671088029.7031608
1st & Wash.,243.0,243.0,0.0,1671088029.7031608
1st and William,110.0,0.0,110.0,1671091630.3631923
Library Lane,744.0,54.0,690.0,1671091630.3631923
Maynard,791.0,112.0,679.0,1671091630.3631923
Forest Garage,853.0,150.0,703.0,1671091630.3631923
Liberty Square (Tally Hall),540.0,56.0,484.0,1671091630.3631923
Ann Ashley,811.0,19.0,792.0,1671091630.3631923
South Ashley (Kline Lot),143.0,3.0,140.0,1671091630.3631923
4th & William,960.0,65.0,895.0,1671091630.3631923
4th & Wash.,270.0,47.0,223.0,1671091630.3631923
1st & Wash.,243.0,243.0,0.0,1671091630.3631923
1st and William,110.0,0.0,110.0,1671095229.6082761
Library Lane,744.0,54.0,690.0,1671095229.6082761
Maynard,791.0,112.0,679.0,1671095229.6082761
Forest Garage,853.0,150.0,703.0,1671095229.6082761
Liberty Square (Tally Hall),540.0,56.0,484.0,1671095229.6082761
Ann Ashley,811.0,19.0,792.0,1671095229.6082761
South Ashley (Kline Lot),143.0,3.0,140.0,1671095229.6082761
4th & William,960.0,65.0,895.0,1671095229.6082761
4th & Wash.,270.0,47.0,223.0,1671095229.6082761
1st & Wash.,243.0,243.0,0.0,1671095229.6082761
1st and William,110.0,0.0,110.0,1671098830.8337522
Library Lane,744.0,51.0,693.0,1671098830.8337522
Maynard,791.0,99.0,692.0,1671098830.8337522
Forest Garage,853.0,127.0,726.0,1671098830.8337522
Liberty Square (Tally Hall),540.0,50.0,490.0,1671098830.8337522
Ann Ashley,811.0,18.0,793.0,1671098830.8337522
South Ashley (Kline Lot),143.0,0.0,143.0,1671098830.8337522
4th & William,960.0,57.0,903.0,1671098830.8337522
4th & Wash.,270.0,45.0,225.0,1671098830.8337522
1st & Wash.,243.0,243.0,0.0,1671098830.8337522
1st and William,110.0,0.0,110.0,1671102428.890224
Library Lane,744.0,51.0,693.0,1671102428.890224
Maynard,791.0,99.0,692.0,1671102428.890224
Forest Garage,853.0,127.0,726.0,1671102428.890224
Liberty Square (Tally Hall),540.0,50.0,490.0,1671102428.890224
Ann Ashley,811.0,18.0,793.0,1671102428.890224
South Ashley (Kline Lot),143.0,0.0,143.0,1671102428.890224
4th & William,960.0,57.0,903.0,1671102428.890224
4th & Wash.,270.0,45.0,225.0,1671102428.890224
1st & Wash.,243.0,243.0,0.0,1671102428.890224
1st and William,110.0,0.0,110.0,1671106030.1990361
Library Lane,744.0,51.0,693.0,1671106030.1990361
Maynard,791.0,99.0,692.0,1671106030.1990361
Forest Garage,853.0,127.0,726.0,1671106030.1990361
Liberty Square (Tally Hall),540.0,50.0,490.0,1671106030.1990361
Ann Ashley,811.0,18.0,793.0,1671106030.1990361
South Ashley (Kline Lot),143.0,0.0,143.0,1671106030.1990361
4th & William,960.0,57.0,903.0,1671106030.1990361
4th & Wash.,270.0,45.0,225.0,1671106030.1990361
1st & Wash.,243.0,243.0,0.0,1671106030.1990361
1st and William,110.0,0.0,110.0,1671109628.2965982
Library Lane,744.0,51.0,693.0,1671109628.2965982
Maynard,791.0,99.0,692.0,1671109628.2965982
Forest Garage,853.0,127.0,726.0,1671109628.2965982
Liberty Square (Tally Hall),540.0,50.0,490.0,1671109628.2965982
Ann Ashley,811.0,18.0,793.0,1671109628.2965982
South Ashley (Kline Lot),143.0,0.0,143.0,1671109628.2965982
4th & William,960.0,57.0,903.0,1671109628.2965982
4th & Wash.,270.0,45.0,225.0,1671109628.2965982
1st & Wash.,243.0,243.0,0.0,1671109628.2965982
1st and William,110.0,0.0,110.0,1671113232.6841955
Library Lane,744.0,131.0,613.0,1671113232.6841955
Maynard,791.0,210.0,581.0,1671113232.6841955
Forest Garage,853.0,292.0,561.0,1671113232.6841955
Liberty Square (Tally Hall),540.0,191.0,349.0,1671113232.6841955
Ann Ashley,811.0,299.0,512.0,1671113232.6841955
South Ashley (Kline Lot),143.0,12.0,131.0,1671113232.6841955
4th & William,960.0,159.0,801.0,1671113232.6841955
4th & Wash.,270.0,102.0,168.0,1671113232.6841955
1st & Wash.,243.0,243.0,0.0,1671113232.6841955
1st and William,110.0,0.0,110.0,1671116828.8317776
Library Lane,744.0,131.0,613.0,1671116828.8317776
Maynard,791.0,210.0,581.0,1671116828.8317776
Forest Garage,853.0,292.0,561.0,1671116828.8317776
Liberty Square (Tally Hall),540.0,191.0,349.0,1671116828.8317776
Ann Ashley,811.0,299.0,512.0,1671116828.8317776
South Ashley (Kline Lot),143.0,12.0,131.0,1671116828.8317776
4th & William,960.0,159.0,801.0,1671116828.8317776
4th & Wash.,270.0,102.0,168.0,1671116828.8317776
1st & Wash.,243.0,243.0,0.0,1671116828.8317776
1st and William,110.0,0.0,110.0,1671120430.8067067
Library Lane,744.0,131.0,613.0,1671120430.8067067
Maynard,791.0,210.0,581.0,1671120430.8067067
Forest Garage,853.0,292.0,561.0,1671120430.8067067
Liberty Square (Tally Hall),540.0,191.0,349.0,1671120430.8067067
Ann Ashley,811.0,299.0,512.0,1671120430.8067067
South Ashley (Kline Lot),143.0,12.0,131.0,1671120430.8067067
4th & William,960.0,159.0,801.0,1671120430.8067067
4th & Wash.,270.0,102.0,168.0,1671120430.8067067
1st & Wash.,243.0,243.0,0.0,1671120430.8067067
1st and William,110.0,0.0,110.0,1671124028.7124918
Library Lane,744.0,131.0,613.0,1671124028.7124918
Maynard,791.0,210.0,581.0,1671124028.7124918
Forest Garage,853.0,292.0,561.0,1671124028.7124918
Liberty Square (Tally Hall),540.0,191.0,349.0,1671124028.7124918
Ann Ashley,811.0,299.0,512.0,1671124028.7124918
South Ashley (Kline Lot),143.0,12.0,131.0,1671124028.7124918
4th & William,960.0,159.0,801.0,1671124028.7124918
4th & Wash.,270.0,102.0,168.0,1671124028.7124918
1st & Wash.,243.0,243.0,0.0,1671124028.7124918
1st and William,110.0,0.0,110.0,1671127628.1041167
Library Lane,744.0,191.0,553.0,1671127628.1041167
Maynard,791.0,437.0,354.0,1671127628.1041167
Forest Garage,853.0,363.0,490.0,1671127628.1041167
Liberty Square (Tally Hall),540.0,276.0,264.0,1671127628.1041167
Ann Ashley,811.0,380.0,431.0,1671127628.1041167
South Ashley (Kline Lot),143.0,49.0,94.0,1671127628.1041167
4th & William,960.0,271.0,689.0,1671127628.1041167
4th & Wash.,270.0,234.0,36.0,1671127628.1041167
1st & Wash.,243.0,94.0,149.0,1671127628.1041167
1st and William,110.0,0.0,110.0,1671131228.996482
Library Lane,744.0,191.0,553.0,1671131228.996482
Maynard,791.0,437.0,354.0,1671131228.996482
Forest Garage,853.0,363.0,490.0,1671131228.996482
Liberty Square (Tally Hall),540.0,276.0,264.0,1671131228.996482
Ann Ashley,811.0,380.0,431.0,1671131228.996482
South Ashley (Kline Lot),143.0,49.0,94.0,1671131228.996482
4th & William,960.0,271.0,689.0,1671131228.996482
4th & Wash.,270.0,234.0,36.0,1671131228.996482
1st & Wash.,243.0,94.0,149.0,1671131228.996482
1st and William,110.0,0.0,110.0,1671134827.6798978
Library Lane,744.0,191.0,553.0,1671134827.6798978
Maynard,791.0,437.0,354.0,1671134827.6798978
Forest Garage,853.0,363.0,490.0,1671134827.6798978
Liberty Square (Tally Hall),540.0,276.0,264.0,1671134827.6798978
Ann Ashley,811.0,380.0,431.0,1671134827.6798978
South Ashley (Kline Lot),143.0,49.0,94.0,1671134827.6798978
4th & William,960.0,271.0,689.0,1671134827.6798978
4th & Wash.,270.0,234.0,36.0,1671134827.6798978
1st & Wash.,243.0,94.0,149.0,1671134827.6798978
1st and William,110.0,0.0,110.0,1671138426.0822196
Library Lane,744.0,191.0,553.0,1671138426.0822196
Maynard,791.0,437.0,354.0,1671138426.0822196
Forest Garage,853.0,363.0,490.0,1671138426.0822196
Liberty Square (Tally Hall),540.0,276.0,264.0,1671138426.0822196
Ann Ashley,811.0,380.0,431.0,1671138426.0822196
South Ashley (Kline Lot),143.0,49.0,94.0,1671138426.0822196
4th & William,960.0,271.0,689.0,1671138426.0822196
4th & Wash.,270.0,234.0,36.0,1671138426.0822196
1st & Wash.,243.0,94.0,149.0,1671138426.0822196
1st and William,110.0,0.0,110.0,1671142028.5315795
Library Lane,744.0,137.0,607.0,1671142028.5315795
Maynard,791.0,355.0,436.0,1671142028.5315795
Forest Garage,853.0,268.0,585.0,1671142028.5315795
Liberty Square (Tally Hall),540.0,268.0,272.0,1671142028.5315795
Ann Ashley,811.0,174.0,637.0,1671142028.5315795
South Ashley (Kline Lot),143.0,66.0,77.0,1671142028.5315795
4th & William,960.0,261.0,699.0,1671142028.5315795
4th & Wash.,270.0,174.0,96.0,1671142028.5315795
1st & Wash.,243.0,108.0,135.0,1671142028.5315795
1st and William,110.0,0.0,110.0,1671145628.193473
Library Lane,744.0,137.0,607.0,1671145628.193473
Maynard,791.0,355.0,436.0,1671145628.193473
Forest Garage,853.0,268.0,585.0,1671145628.193473
Liberty Square (Tally Hall),540.0,268.0,272.0,1671145628.193473
Ann Ashley,811.0,174.0,637.0,1671145628.193473
South Ashley (Kline Lot),143.0,66.0,77.0,1671145628.193473
4th & William,960.0,261.0,699.0,1671145628.193473
4th & Wash.,270.0,174.0,96.0,1671145628.193473
1st & Wash.,243.0,108.0,135.0,1671145628.193473
1st and William,110.0,0.0,110.0,1671149235.8143578
Library Lane,744.0,137.0,607.0,1671149235.8143578
Maynard,791.0,355.0,436.0,1671149235.8143578
Forest Garage,853.0,268.0,585.0,1671149235.8143578
Liberty Square (Tally Hall),540.0,268.0,272.0,1671149235.8143578
Ann Ashley,811.0,174.0,637.0,1671149235.8143578
South Ashley (Kline Lot),143.0,66.0,77.0,1671149235.8143578
4th & William,960.0,261.0,699.0,1671149235.8143578
4th & Wash.,270.0,174.0,96.0,1671149235.8143578
1st & Wash.,243.0,108.0,135.0,1671149235.8143578
1st and William,110.0,0.0,110.0,1671152826.8754559
Library Lane,744.0,137.0,607.0,1671152826.8754559
Maynard,791.0,355.0,436.0,1671152826.8754559
Forest Garage,853.0,268.0,585.0,1671152826.8754559
Liberty Square (Tally Hall),540.0,268.0,272.0,1671152826.8754559
Ann Ashley,811.0,174.0,637.0,1671152826.8754559
South Ashley (Kline Lot),143.0,66.0,77.0,1671152826.8754559
4th & William,960.0,261.0,699.0,1671152826.8754559
4th & Wash.,270.0,174.0,96.0,1671152826.8754559
1st & Wash.,243.0,108.0,135.0,1671152826.8754559
1st and William,110.0,0.0,110.0,1671156444.5534596
Library Lane,744.0,73.0,671.0,1671156444.5534596
Maynard,791.0,293.0,498.0,1671156444.5534596
Forest Garage,853.0,158.0,695.0,1671156444.5534596
Liberty Square (Tally Hall),540.0,148.0,392.0,1671156444.5534596
Ann Ashley,811.0,48.0,763.0,1671156444.5534596
South Ashley (Kline Lot),143.0,72.0,71.0,1671156444.5534596
4th & William,960.0,171.0,789.0,1671156444.5534596
4th & Wash.,270.0,166.0,104.0,1671156444.5534596
1st & Wash.,243.0,243.0,0.0,1671156444.5534596
1st and William,110.0,0.0,110.0,1671160030.9509647
Library Lane,744.0,73.0,671.0,1671160030.9509647
Maynard,791.0,293.0,498.0,1671160030.9509647
Forest Garage,853.0,158.0,695.0,1671160030.9509647
Liberty Square (Tally Hall),540.0,148.0,392.0,1671160030.9509647
Ann Ashley,811.0,48.0,763.0,1671160030.9509647
South Ashley (Kline Lot),143.0,72.0,71.0,1671160030.9509647
4th & William,960.0,171.0,789.0,1671160030.9509647
4th & Wash.,270.0,166.0,104.0,1671160030.9509647
1st & Wash.,243.0,243.0,0.0,1671160030.9509647
1st and William,110.0,0.0,110.0,1671163626.9228942
Library Lane,744.0,73.0,671.0,1671163626.9228942
Maynard,791.0,293.0,498.0,1671163626.9228942
Forest Garage,853.0,158.0,695.0,1671163626.9228942
Liberty Square (Tally Hall),540.0,148.0,392.0,1671163626.9228942
Ann Ashley,811.0,48.0,763.0,1671163626.9228942
South Ashley (Kline Lot),143.0,72.0,71.0,1671163626.9228942
4th & William,960.0,171.0,789.0,1671163626.9228942
4th & Wash.,270.0,166.0,104.0,1671163626.9228942
1st & Wash.,243.0,243.0,0.0,1671163626.9228942
1st and William,110.0,0.0,110.0,1671167229.603661
Library Lane,744.0,73.0,671.0,1671167229.603661
Maynard,791.0,293.0,498.0,1671167229.603661
Forest Garage,853.0,158.0,695.0,1671167229.603661
Liberty Square (Tally Hall),540.0,148.0,392.0,1671167229.603661
Ann Ashley,811.0,48.0,763.0,1671167229.603661
South Ashley (Kline Lot),143.0,72.0,71.0,1671167229.603661
4th & William,960.0,171.0,789.0,1671167229.603661
4th & Wash.,270.0,166.0,104.0,1671167229.603661
1st & Wash.,243.0,243.0,0.0,1671167229.603661
1st and William,110.0,0.0,110.0,1671170831.875943
Library Lane,744.0,47.0,697.0,1671170831.875943
Maynard,791.0,122.0,669.0,1671170831.875943
Forest Garage,853.0,143.0,710.0,1671170831.875943
Liberty Square (Tally Hall),540.0,46.0,494.0,1671170831.875943
Ann Ashley,811.0,15.0,796.0,1671170831.875943
South Ashley (Kline Lot),143.0,9.0,134.0,1671170831.875943
4th & William,960.0,56.0,904.0,1671170831.875943
4th & Wash.,270.0,46.0,224.0,1671170831.875943
1st & Wash.,243.0,243.0,0.0,1671170831.875943
1st and William,110.0,0.0,110.0,1671174428.6293437
Library Lane,744.0,47.0,697.0,1671174428.6293437
Maynard,791.0,122.0,669.0,1671174428.6293437
Forest Garage,853.0,143.0,710.0,1671174428.6293437
Liberty Square (Tally Hall),540.0,46.0,494.0,1671174428.6293437
Ann Ashley,811.0,15.0,796.0,1671174428.6293437
South Ashley (Kline Lot),143.0,9.0,134.0,1671174428.6293437
4th & William,960.0,56.0,904.0,1671174428.6293437
4th & Wash.,270.0,46.0,224.0,1671174428.6293437
1st & Wash.,243.0,243.0,0.0,1671174428.6293437
1st and William,110.0,0.0,110.0,1671178031.8483372
Library Lane,744.0,47.0,697.0,1671178031.8483372
Maynard,791.0,122.0,669.0,1671178031.8483372
Forest Garage,853.0,143.0,710.0,1671178031.8483372
Liberty Square (Tally Hall),540.0,46.0,494.0,1671178031.8483372
Ann Ashley,811.0,15.0,796.0,1671178031.8483372
South Ashley (Kline Lot),143.0,9.0,134.0,1671178031.8483372
4th & William,960.0,56.0,904.0,1671178031.8483372
4th & Wash.,270.0,46.0,224.0,1671178031.8483372
1st & Wash.,243.0,243.0,0.0,1671178031.8483372
1st and William,110.0,0.0,110.0,1671181630.664549
Library Lane,744.0,47.0,697.0,1671181630.664549
Maynard,791.0,122.0,669.0,1671181630.664549
Forest Garage,853.0,143.0,710.0,1671181630.664549
Liberty Square (Tally Hall),540.0,46.0,494.0,1671181630.664549
Ann Ashley,811.0,15.0,796.0,1671181630.664549
South Ashley (Kline Lot),143.0,9.0,134.0,1671181630.664549
4th & William,960.0,56.0,904.0,1671181630.664549
4th & Wash.,270.0,46.0,224.0,1671181630.664549
1st & Wash.,243.0,243.0,0.0,1671181630.664549
1st and William,110.0,0.0,110.0,1671185230.350408
Library Lane,744.0,44.0,700.0,1671185230.350408
Maynard,791.0,95.0,696.0,1671185230.350408
Forest Garage,853.0,99.0,754.0,1671185230.350408
Liberty Square (Tally Hall),540.0,41.0,499.0,1671185230.350408
Ann Ashley,811.0,5.0,806.0,1671185230.350408
South Ashley (Kline Lot),143.0,5.0,138.0,1671185230.350408
4th & William,960.0,45.0,915.0,1671185230.350408
4th & Wash.,270.0,42.0,228.0,1671185230.350408
1st & Wash.,243.0,243.0,0.0,1671185230.350408
1st and William,110.0,0.0,110.0,1671188829.2102804
Library Lane,744.0,44.0,700.0,1671188829.2102804
Maynard,791.0,95.0,696.0,1671188829.2102804
Forest Garage,853.0,99.0,754.0,1671188829.2102804
Liberty Square (Tally Hall),540.0,41.0,499.0,1671188829.2102804
Ann Ashley,811.0,5.0,806.0,1671188829.2102804
South Ashley (Kline Lot),143.0,5.0,138.0,1671188829.2102804
4th & William,960.0,45.0,915.0,1671188829.2102804
4th & Wash.,270.0,42.0,228.0,1671188829.2102804
1st & Wash.,243.0,243.0,0.0,1671188829.2102804
1st and William,110.0,0.0,110.0,1671192428.261569
Library Lane,744.0,44.0,700.0,1671192428.261569
Maynard,791.0,95.0,696.0,1671192428.261569
Forest Garage,853.0,99.0,754.0,1671192428.261569
Liberty Square (Tally Hall),540.0,41.0,499.0,1671192428.261569
Ann Ashley,811.0,5.0,806.0,1671192428.261569
South Ashley (Kline Lot),143.0,5.0,138.0,1671192428.261569
4th & William,960.0,45.0,915.0,1671192428.261569
4th & Wash.,270.0,42.0,228.0,1671192428.261569
1st & Wash.,243.0,243.0,0.0,1671192428.261569
1st and William,110.0,0.0,110.0,1671196033.8196487
Library Lane,744.0,72.0,672.0,1671196033.8196487
Maynard,791.0,141.0,650.0,1671196033.8196487
Forest Garage,853.0,194.0,659.0,1671196033.8196487
Liberty Square (Tally Hall),540.0,99.0,441.0,1671196033.8196487
Ann Ashley,811.0,118.0,693.0,1671196033.8196487
South Ashley (Kline Lot),143.0,7.0,136.0,1671196033.8196487
4th & William,960.0,77.0,883.0,1671196033.8196487
4th & Wash.,270.0,56.0,214.0,1671196033.8196487
1st & Wash.,243.0,243.0,0.0,1671196033.8196487
1st and William,110.0,0.0,110.0,1671199627.745593
Library Lane,744.0,72.0,672.0,1671199627.745593
Maynard,791.0,141.0,650.0,1671199627.745593
Forest Garage,853.0,194.0,659.0,1671199627.745593
Liberty Square (Tally Hall),540.0,99.0,441.0,1671199627.745593
Ann Ashley,811.0,118.0,693.0,1671199627.745593
South Ashley (Kline Lot),143.0,7.0,136.0,1671199627.745593
4th & William,960.0,77.0,883.0,1671199627.745593
4th & Wash.,270.0,56.0,214.0,1671199627.745593
1st & Wash.,243.0,243.0,0.0,1671199627.745593
1st and William,110.0,0.0,110.0,1671203227.3739157
Library Lane,744.0,72.0,672.0,1671203227.3739157
Maynard,791.0,141.0,650.0,1671203227.3739157
Forest Garage,853.0,194.0,659.0,1671203227.3739157
Liberty Square (Tally Hall),540.0,99.0,441.0,1671203227.3739157
Ann Ashley,811.0,118.0,693.0,1671203227.3739157
South Ashley (Kline Lot),143.0,7.0,136.0,1671203227.3739157
4th & William,960.0,77.0,883.0,1671203227.3739157
4th & Wash.,270.0,56.0,214.0,1671203227.3739157
1st & Wash.,243.0,243.0,0.0,1671203227.3739157
1st and William,110.0,0.0,110.0,1671206829.1829402
Library Lane,744.0,72.0,672.0,1671206829.1829402
Maynard,791.0,141.0,650.0,1671206829.1829402
Forest Garage,853.0,194.0,659.0,1671206829.1829402
